Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/web/index.php/auth/login-7,25,5155,1986,9038,1800.05,0.000%,.09596,0.22,0.07,2341.1
Launch,25,5155,1986,9038,1800.05,0.000%,.09520,0.22,0.07,2341.1
/web/index.php/auth/validate-35,25,14170,2021,28418,5486.00,8.000%,.09687,0.42,0.18,4397.9
/web/index.php/dashboard/index-35,23,5849,3080,11133,1803.06,4.348%,.09988,0.28,0.08,2847.7
Login,23,21023,12885,34589,4761.24,4.348%,.08868,0.63,0.26,7311.5
/web/index.php/leave/viewLeaveModule-180,22,9859,2004,13941,2699.76,4.545%,.10099,0.48,0.16,4879.1
/web/index.php/leave/viewLeaveList-181,21,6628,3705,9459,1724.45,0.000%,.15081,0.49,0.13,3359.1
Leave,21,16861,13913,22213,2384.66,0.000%,.13608,1.10,0.34,8297.3
/web/index.php/leave/assignLeave-192,21,5180,2175,7773,1465.02,0.000%,.14945,0.44,0.12,3034.6
/web/index.php/api/v2/leave/employees/leave-requests-208,21,5617,2141,8756,2009.58,0.000%,.14916,0.16,0.15,1079.0
Assign_Leave,21,10797,6630,15005,2500.32,0.000%,.13923,0.56,0.25,4113.6
Debug Sampler,21,0,0,4,0.90,0.000%,.15492,0.13,0.00,829.1
TOTAL,269,8898,0,34589,6342.09,1.859%,1.01146,3.68,1.31,3728.5
