Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/web/index.php/auth/login-7,25,4407,3963,6010,7896,8116,1966,8116,0.000%,.09955,0.23,0.07
Launch,25,4407,3963,6010,7896,8116,1966,8116,0.000%,.09852,0.23,0.07
/web/index.php/auth/validate-35,25,10887,10085,15784,15959,17237,6113,17237,0.000%,.09860,0.43,0.20
/web/index.php/dashboard/index-35,25,4606,4770,6331,7991,8499,1569,8499,0.000%,.10032,0.28,0.08
Login,25,15493,14946,21444,22510,22803,8752,22803,0.000%,.09578,0.68,0.28
/web/index.php/leave/viewLeaveModule-180,25,7831,7564,10291,11233,12317,4223,12317,0.000%,.09831,0.47,0.16
/web/index.php/leave/viewLeaveList-181,25,4345,4105,6132,6897,8567,2699,8567,0.000%,.09976,0.33,0.08
Leave,25,12177,12154,15307,15632,19214,6922,19214,0.000%,.09631,0.78,0.24
/web/index.php/leave/viewLeaveEntitlements-1,25,4383,4087,5876,6737,7342,1969,7342,4.000%,.10112,0.31,0.08
/web/index.php/leave/editLeaveEntitlement/136-8,24,4284,3714,7301,8169,8180,1938,8180,0.000%,.11101,0.37,0.09
/web/index.php/api/v2/leave/leave-entitlements/136-21,24,3409,3636,5344,5425,5573,1251,5573,0.000%,.11005,0.15,0.10
Edit_Entitlement,24,12160,11079,16016,16394,16623,7949,16623,0.000%,.10313,0.80,0.26
Debug Sampler,24,0,0,0,1,1,0,1,0.000%,.11122,0.08,0.00
TOTAL,321,6822,5267,14304,15959,21444,0,22803,0.312%,1.11266,4.40,1.48
