Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Launch,120,14107,1671,38061,7351.69,0.000%,.15943,0.47,0.15,3017.9
Login,119,42827,11209,66538,9411.93,3.361%,.14687,1.10,0.46,7655.2
Add_Employee_Admin,20,87617,72599,113069,10501.46,0.000%,.13668,3.22,0.79,24109.3
Debug Sampler,79,0,0,4,0.57,0.000%,.11046,0.07,0.00,641.2
Create_Admin,20,61798,41325,76207,9019.02,0.000%,.16999,2.69,0.86,16225.5
Add_Employee,20,70025,57922,90654,9876.58,0.000%,.12845,2.15,0.65,17168.3
Add_Entitlement,19,53093,41430,69729,7086.95,5.263%,.16296,2.07,0.69,13018.8
TOTAL,397,30697,0,113069,26240.04,1.259%,.45491,3.05,1.01,6854.4
